address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Taha Huseen, New Nozha",Apartments,3,2,170 ,11,2013,Super lux,Main Street,"1,500,000"
بجوار مول سيتى ستارز,Studio,1,1,70 ,6,2023,Semi Finished,,"1,000,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,4,2,160 ,1,2019,Semi Finished,Main Street,"1,455,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,3,3,260 ,10,Extra super lux,,,"3,600,000"
"Compounds In Heliopolis, Compounds in Heliopolis",Apartments,3,2,157 ,1,Super lux,,,"2,512,000"
"Main Street, Gisr El Swis",Apartments,2,1,125 ,5,1980,Super lux,Side Street,"850,000"
Aswan street,Commercial,,,27 ,Semi Finished,,,,"1,000,000"
"Main Street, Gisr El Swis",Apartments,3,2,150 ,5,2020,Super lux,Main Street,"350,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,3,3,245 ,1,Super lux,,,"2,650,000"
"Main Street, Gisr El Swis",Apartments,2,1,120 ,2,2020,Super lux,Main Street,"490,000"
"Main Street, Gisr El Swis",Apartments,3,1,140 ,1,2020,Super lux,,"1,200,000"
"Main Street, Gisr El Swis",Apartments,3,1,140 ,6,2020,Super lux,Main Street,"600,000"
"Main Street, Gisr El Swis",Apartments,2,1,100 ,1,2020,Semi Finished,Main Street,"700,000"
"Ankra St., Masakn Sheraton",Apartments,5,3,240 ,1,1985,Lux,Main Street,"2,750,000"
"Abou Bakr El Sedeek, Masakn Sheraton",Apartments,3,3,200 ,1,2021,Semi Finished,Main Street,"3,456,780"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,3,1,150 ,1,Super lux,,,"750,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Duplex,5,4,550 ,5,Super lux,,,"13,750,000"
"New Nozha, New Nozha ",Furnished Apartment,3,2,170 ,7,Super lux,,,"3,000,000"
"Sheraton, Heliopolis - Masr El Gedida",Apartments,4,2,173 ,4,Super lux,Side Street,,"1,900,000"
"Qibaa City, Gisr El Swis",Stores,,,45 ,Semi Finished,Main Street,,,"190,000"
"Main Street, Gisr El Swis",Apartments,3,2,160 ,3,2020,Super lux,Main Street,"950,000"
"El Hegaz St, El Hijaz Square",Apartments,2,1,140 ,9,1988,Super lux,Main Street,"1,600,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,3,2,225 ,2,2020,Super lux,Main Street,"2,650,000"
"Main Street, Gisr El Swis",Apartments,3,1,165 ,5,2020,Lux,Main Street,"630,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,2,1,120 ,5,1991,Lux,Main Street,"1,200,000"
"Kamal Hassan Ali St., Sheraton",Apartments,3,1,150 ,3,2016,Extra super lux,Main Street,"2,950,000"
"Shams El Din El Zahabi, Ard El Golf",Apartments,2,2,140 ,3,Lux,,,"1,500,000"
"Hasan El-Laythy St., New Nozha",Apartments,3,2,150 ,4,2021,Super lux,Side Street,"554,000"
"Abdelhamid Badawi, Heliopolis - Masr El Gedida",Apartments,3,3,270 ,4,2012,Super lux,Main Street,"3,600,000"
"Main Street, Gisr El Swis",Apartments,2,1,75 ,5,2020,Super lux,Main Street,"270,000"
"Qibaa City, Gisr El Swis",Stores,,,140 ,Lux,,,,"1,300,000"
"Main Street, Gisr El Swis",Apartments,2,1,75 ,1,2020,Super lux,Main Street,"250,000"
"Main Street, Gisr El Swis",Apartments,3,2, 200 ,3,2020,Super lux,Main Street,"1,200,000"
"Tegaryen City, Gisr El Swis",Stores,,,10 ,Semi Finished,Main Street,,,"75,000"
"New Nozha, New Nozha",Apartments,3,2,130 ,10,2020,Semi Finished,Main Street,"200,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,2,1,140 ,11,1980,Lux,Main Street,"1,150,000"
"Abd El-Rahman Roushdy St., St. Fatima Square",Corporate Branch,6,3,240 ,Ground,2018,Super lux,Corner,"3,600,000"
"Main Street, Gisr El Swis",Apartments,2,1,90 ,10,2020,Super lux,Main Street,"350,000"
"Main Street, Gisr El Swis",Apartments,3,1,140 ,3,2020,Semi Finished,Main Street,"370,000"
"El Hegaz St St., Heliopolis Square",Apartments,2,2,180 ,10,1990,Lux,Main Street,"1,900,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,3,2,140 ,5,Super lux,Garden,,"1,350,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Stores,,,22 ,Lux,,,,"3,800,000"
"Tegaryen City, Gisr El Swis",Apartments,3,2,160 ,5,2020,Without Finish,Main Street,"900,000"
"Main Street, Gisr El Swis",House / Home,4,2,80 ,2020,Semi Finished,Main Street,,"430,000"
"El-Montaza St., Heliopolis Square",Apartments,3,2,200 ,2,Super lux,,,"2,250,000"
"Main Street, Gisr El Swis",Apartments,3,1,135 ,6,2030,Super lux,Main Street,"1,200,000"
"New Nozha, New Nozha",Apartments,4,1,140 ,9,2020,Semi Finished,Main Street,"385,000"
"Main Street, Gisr El Swis",Apartments,3,1,176 ,6,2020,Super lux,Main Street,"850,000"
عمارات خلف العبور - مصر الجديدة,Apartments,2,1,120 ,1,2030,Super lux,Other,"1,200,000"
"El Merghany St, Ard El Golf",Apartments,3,3,235 ,8,Super lux,,,"2,400,000"
"Main Street, Gisr El Swis",Apartments,3,1,130 ,10,2020,Super lux,Main Street,"300,000"
"Roxy Square, Heliopolis - Masr El Gedida",Apartments,4,3,285 ,6,Super lux,,,"2,850,000"
"Main Street, Gisr El Swis",Apartments,3,1,130 ,5,2020,Super lux,Main Street,"580,000"
"Main Street, Gisr El Swis",Apartments,3,2,135 ,6,2020,Semi Finished,Main Street,"390,000"
"Qibaa City, Gisr El Swis",Apartments,2,1,90 ,10,2020,Super lux,Main Street,"275,000"
"Main Street, Gisr El Swis",House / Home,12,4,100 ,2020,Super lux,Main Street,,"2,400,000"
"New Nozha, New Nozha",Apartments,2,2,120 ,Ground,2020,Super lux,Main Street,"375,000"
"Main Street, Gisr El Swis",Apartments,3,1,135 ,9,2020,Super lux,Main Street,"650,000"
"Main Street, Gisr El Swis",Apartments,3,1,127 ,2,2020,Super lux,Main Street,"750,000"
"Main Street, Gisr El Swis",Roof,2,2,180 ,Ground,2020,Super lux,Main Street,"750,000"
"New Nozha, New Nozha",Apartments,2,2,160 ,6,2020,Lux,Main Street,"370,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,2,1,100 ,Ground,Super lux,,,"900,000"
"Qibaa City, Gisr El Swis",Apartments,3,1,140 ,8,2020,Super lux,Main Street,"700,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Stores,,,50 ,Extra super lux,,,,"1,800,000"
"New Nozha, New Nozha",Commercial,,,300 ,Super lux,Main Street,,,"6,750,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,3,2,180 ,7,Super lux,,,"3,100,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,3,3,190 ,3,2030,Super lux,Main Street,"2,350,000"
"Main Street, Gisr El Swis",Apartments,1,1,135 ,2,2020,Super lux,Main Street,"500,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,2,1,140 ,8,2030,Super lux,Main Street,"1,150,000"
"Obour Buildings, Heliopolis - Masr El Gedida",Apartments,2,1,120 ,6,1980,Super lux,Side Street,"1,400,000"
"Main Street, Gisr El Swis",Apartments,2,2,90 ,5,2017,Extra super lux,Main Street,"800,000"
"Roxy Square, Heliopolis - Masr El Gedida",Apartments,2,1,105 ,2,Super lux,,,"2,250,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,2,1,115 ,5,Super lux,,,"1,000,000"
"El Nozha Street, Heliopolis - Masr El Gedida",Apartments,3,2,230 ,3,2030,Super lux,Main Street,"3,800,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Duplex,3,3,150 ,5,Super lux,,,"2,300,000"
"Main Street, Gisr El Swis",Apartments,2,1,110 ,10,2020,Super lux,Main Street,"370,000"
"New Nozha, New Nozha",Apartments,3,2,160 ,6,2020,Super lux,Main Street,"700,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,3,1,130 ,10,Super lux,,,"950,000"
"Qibaa City, Gisr El Swis",Apartments,3,1,150 ,9,2020,Super lux,Main Street,"460,000"
"Main Street, Gisr El Swis",Apartments,3,1,140 ,2,2020,Super lux,Main Street,"400,000"
"Main Street, Gisr El Swis",Stores,,,25 ,Super lux,Main Street,,,"350,000"
"Main Street, Gisr El Swis",Apartments,3,1,185 ,10,2020,Super lux,Main Street,"450,000"
