address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Moustafa El Nahaas / Ali Amin, Nasr City",Apartments,3,3,280 ,9,2010,Super lux,Main Street,"2,600,000"
"Abou Dawoud El Zaheri, Nasr City",Medical,1,1,62 ,3,2021,Super lux,Main Street,"1,612,000"
"El Sefarat Neighborhood, El Sefarat Neighborhood",Apartments,3,2,200 ,6,2005,Super lux,Side Street,"1,700,000"
"Ahmed Fakhry, Nasr City",Apartments,3,3,226 ,3,2018,Super lux,,"2,700,000"
"Al Taqa - Mohammed Mostafa El Sayed St., El Ahly Club",Apartments,3,1,100 ,Ground,1984,Semi Finished,Garden,"750,000"
"Al Moshir Tantawy Axis, Nasr City",Stores,,,50 ,Semi Finished,Side Street,,,"1,200,000"
"Dr Mahmoud Saleh Abou Zaid St., 9th Zone",Apartments,3,2,175 ,5,2012,Without Finish,,"1,100,000"
"Abbas El Akkad, Nasr City",Apartments,3,3,330 ,5,1996,Super lux,Main Street,"3,500,000"
"Al Sad Al Aali St., 9th Zone",Apartments,3,2,155  ,1,2017,Without Finish,Other,"850,000"
"Dr Ibrahim Nagy St., 9th Zone",Apartments,3,2,205 ,10,2012,Without Finish,,"1,350,000"
"Dr Hasan Hamid St., 9th Zone",Apartments,3,2,165 ,1,2012,Semi Finished,,"990,000"
"Youssef Abbas, Nasr City",Apartments,2,1,115 ,9,2013,Super lux,Main Street,"950,000"
"Dr Hasan Hamid St., 9th Zone",Apartments,3,2,185 ,6,2012,Semi Finished,,"1,250,000"
"Abd El Hakim El-Refaey St., 8th Zone",Apartments,5,2,300  ,2,1987,Super lux,Main Street,"1,800,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,145 ,5,2021,Semi Finished,Main Street,"1,015,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,1,170 ,4,2019,Semi Finished,,"1,002,150"
"Dr Mahmoud Saleh Abou Zaid St., 9th Zone",Apartments,3,2,185 ,7,2012,Semi Finished,Other,"1,250,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,2,90 ,4,2021,Semi Finished,Main Street,"450,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,110 ,4,2021,Semi Finished,Main Street,"847,000"
"Moustafa El Nahaas / Ali Amin, Nasr City",Apartments,2,2,170 ,7,2020,Super lux,Main Street,"1,700,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,125 ,4,2021,Semi Finished,Main Street,"875,000"
