address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Sharqia City, Sharqia",Residential Land,,,276 ,Garden,,,,"365,000"
الحي اليوناني,Apartments,3,2,135 ,2,2020,Semi Finished,Garden,"506,250"
"10th of Ramadan, Greater Cairo",Residential Land,,,504 ,Side Street,,,,"750,000"
"10th of Ramadan, Greater Cairo",Land,,,500 ,Corner,,,,"1,550,000"
مدينة العاشر من رمضان - حي 32 - مجاورة 3,Residential Land,,,209 ,Main Street,,,,"350,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,70 ,6,,,,"135,000"
"10th of Ramadan, Greater Cairo",Apartments,3,1,90 ,2,2021,Super lux,Side Street,"165,000"
منطقة A4,Factory,,,3266 ,Other,,,,"30,000,000"
"10th of Ramadan, Greater Cairo",Villas,4,2,300 ,2002,Super lux,Garden,,"3,400,000"
"Sharqia City, Sharqia",Apartments,2,1,86 ,4,1985,Lux,Other,"350,000"
بجوار مصنع فرش,Industrial Land,,,29000 ,Main Street,,,,"16,000,000"
بجوار م,Industrial Land,,,29000 ,Garden,,,,"37,700,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,1224 ,Corner,,,,"3,500,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,100 ,2,,,,"450,000"
"10th of Ramadan, Greater Cairo",Apartments,3,1,118 ,2,2008,Super lux,Main Street,"580,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2700 ,Main Street,,,,"4,200,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2700 ,Corner,,,,"4,500,000"
"10th of Ramadan, Greater Cairo",Apartments,3,2,130 ,2,2021,Super lux,Side Street,"300,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,1224 ,Main Street,,,,"6,500,000"
بجوار دكتور جريش و السويدى للجلفنه و شركه الزجاج المسطح,Industrial Land,,,2700 ,Main Street,,,,"4,000,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,64 ,4,2012,Semi Finished,Garden,"115,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2500 ,Main Street,,,,"4,500,000"
الحي اليوناني,Apartment with Garden,3,2,225 ,2020,Semi Finished,Garden,,"506,250"
العاشر من رمضان بجوار د / جريش وشركة الزجاج المسطح وبجوار ميد ستار,Industrial Land,,,702 ,Main Street,,,,"2,300,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,702 ,Main Street,,,,"2,300,000"
"10th of Ramadan, Greater Cairo",Factory,,,26000 ,2020,Main Street,,,"70,000,000"
الحى ال27 - المجاورة التالتة,Residential Land,,,980 ,Side Street,,,,"490,000"
"10th of Ramadan, Greater Cairo",Roof,2,1,170 ,5,2020,Semi Finished,Main Street,"360,000"
"10th of Ramadan, Greater Cairo",Apartment with Garden,2,1,78 ,Ground,2013,Super lux,,"270,000"
"10th of Ramadan, Greater Cairo",Apartments,3,1,150 ,2,2018,Semi Finished,,"525,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2700 ,Main Street,,,,"5,000,000"
"Other Neighborhoods, Sharqia",Separate Villa,4,2,150 ,1985,Super lux,Garden,,"1,800,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,25000 ,Corner,,,,"42,500,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,1224 ,Main Street,,,,"3,250,000"
"10th of Ramadan, Greater Cairo",Residential Land,,,276 ,Side Street,,,,"550,000"
"10th of Ramadan, Greater Cairo",Apartments,3,1,86 ,4,2000,Lux,Main Street,"290,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,702 ,Main Street,,,,"3,100,000"
القاهرة الكبرى/العاشر من رمضان,Industrial Land,,,2500 ,Main Street,,,,"3,250,000"
"10th of Ramadan, Greater Cairo",Storage,,,1800 ,Main Street,,,,"6,500,000"
"10th of Ramadan, Greater Cairo",Factory,,,30000 ,Semi Finished,Main Street,,,"100,000,000"
"10th of Ramadan, Greater Cairo",Residential Land,,,508 ,Corner,,,,"800,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,2500 ,Main Street,,,,"4,000,000"
خلف هايبر وان,Industrial Land,,,13000 ,Main Street,,,,"18,850,000"
"10th of Ramadan, Greater Cairo",Apartments,2,1,65 ,5,2012,Lux,Main Street,"140,000"
بجوار بنك الاسكان والتعمير و جامعة حياة أبو غالب,Apartments,2,2,101 ,1,1990,Lux,Main Street,"550,000"
"10th of Ramadan, Greater Cairo",Industrial Land,,,1224 ,Main Street,,,,"3,250,000"
الحي اليوناني,Apartments,3,2,135 ,3,2020,Semi Finished,Garden,"506,250"
"10th of Ramadan, Greater Cairo",Apartments,3,2,130 ,2,2020,Extra super lux,Main Street,"800,000"
بجوار شركه فل و مكرونه الملكه,Storage,,,1600 ,Main Street,,,,"6,500,000"
بجوار مصنع السويدى للجلفنه و تريدكو الصياد و دكتور جريش وفرش,Factory,,,2700 ,Main Street,,,,"6,000,000"
"10th of Ramadan, Greater Cairo",Apartments,1,1,90 ,5,Semi Finished,Main Street,,"140,000"
الحي اليوناني,Apartments,3,2,135 ,4,2020,Semi Finished,Garden,"506,250"
"10th of Ramadan, Greater Cairo",Farm,,,2700 ,Main Street,,,,"2,700,000"
"10th of Ramadan, Greater Cairo",Farm,,,63000 ,Garden,,,,"6,000,000"
"10th of Ramadan, Greater Cairo",Apartments,4,2,340 ,2,2021,Extra super lux,Side Street,"2,250,000"
الحي اليوناني,Duplex,6,4,420 ,4,2020,Semi Finished,Garden,"1,162,500"
