address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"First Neighborhood, Bait El Watan",Apartment with Garden,3,2,155 ,Ground,2023,Semi Finished,Main Street,"1,007,500"
Maadi,Apartments,3,4,261 ,4,2030,Extra super lux,Nile,"13,885,200"
6th of October city,Apartment with Garden,2,1,125 ,1,2022,Without Finish,Main Street,"2,327,200"
"Hyde Park, Compounds in New Cairo",Apartments,3,3,185 ,3,2020,Semi Finished,Garden,"3,200,000"
Mokattam,Apartment with Garden,3,3,223 ,1,2023,Extra super lux,Main Street,"8,400,000"
Mokattam,Studio,1,1,30 ,1,2020,Extra super lux,Main Street,"2,100,000"
اتيكا,Apartments,4,3,168 ,3,2013,Super lux,Garden,"2,450,000"
New Capital,Apartment with Garden,3,1,116 ,4,2023,Semi Finished,Garden,"1,741,718"
6 october,Apartment with Garden,3,3,234 ,Ground,2030,Extra super lux,Main Street,"5,957,000"
New Cairo,Apartment with Garden,4,2,126 ,Ground,2021,Super lux,Garden,"2,337,000"
New Capital,Apartments,2,1,156 ,4,2023,Semi Finished,Garden,"2,400,684"
"Fourth Neighborhood, Bait El Watan",Apartments,3,2,152 ,3,2023,Semi Finished,Main Street,"1,063,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,2,2,125 ,1,2021,Semi Finished,Garden,"1,570,250"
"Castle Landmark Compound - Castle Landmark, R7",Apartments,3,3,150 ,4,2021,Semi Finished,Garden,"1,639,800"
"Bait El Watan, 6th of October",Apartment with Garden,3,2,175 ,1,2022,Semi Finished,Garden,"1,120,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartment with Garden,2,3,125 ,Ground,2021,Semi Finished,Garden,"1,767,375"
"Bait El Watan Ninth Neighborhood, 6th of October",Apartments,3,3,175 ,1,2023,Semi Finished,Main Street,"1,225,000"
"Bait El Watan, El Sheikh Zayed City",Apartments,4,3,259 ,1,2021,Semi Finished,Corner,"2,201,500"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,2,2,125 ,2,2021,Semi Finished,Garden,"1,582,750"
"Castle Landmark Compound - Castle Landmark, R7",Apartments,3,3,155 ,3,2020,Semi Finished,Back,"1,800,000"
"Castle Landmark Compound - Castle Landmark, R7",Apartments,3,3,200 ,4,2021,Semi Finished,Garden,"2,192,600"
Kattameya,Apartments,1,1,56 ,9,2020,Semi Finished,Main Street,"2,353,516"
Azadir - New Cairo,Apartments,3,3,171 ,2,2024,Semi Finished,Garden,"3,094,575"
New Administrative Capital,Apartments,3,1,189 ,1,2023,Extra super lux,Garden,"2,475,900"
"Bait El Watan, 6th of October",Apartments,4,3,270 ,2,2022,Semi Finished,Corner,"1,957,500"
